id,category,subject_id,subject_name,relation_type,target_id,target_name,answer,clinical_relevance,exam_traps,question_templates,tags,course_tags,details_json
cc_stomach_greater_curvature_gastro_omental,topographic_vessel_relation,organ_stomach,stomach: greater curvature,artery_runs_along,artery_gastro_omental_right_left,right and left gastro-omental arteries,The greater curvature of the stomach is supplied by an arterial arcade formed mainly by the right gastro-omental artery and the left gastro-omental artery.,Important during gastric surgery and control of bleeding along the greater curvature.,"Do not answer right gastric or left gastric artery; those follow the lesser curvature. | Short gastric arteries supply mainly the fundus near the superior part of the greater curvature, not the full inferior greater-curvature arcade.",Which arteries run along the greater curvature of the stomach? | Which artery passes along the inferior/great-curvature side of the stomach? | Greater curvature bleeding: which vessels are nearby?,stomach; greater curvature; gastro-omental; blood supply,anat1_week_12; anat1_week_13; anat2_week_02,"{""arteries"": [{""name"": ""right gastro-omental artery"", ""origin"": ""gastroduodenal artery"", ""course"": ""runs from right to left along the greater curvature between layers of the greater omentum""}, {""name"": ""left gastro-omental artery"", ""origin"": ""splenic artery"", ""course"": ""runs from left to right along the greater curvature""}], ""nearby_ligament"": ""gastrocolic ligament / greater omentum"", ""contrast"": ""lesser curvature is supplied by right and left gastric arteries""}"
cc_stomach_lesser_curvature_gastric,topographic_vessel_relation,organ_stomach,stomach: lesser curvature,artery_runs_along,artery_gastric_right_left,right and left gastric arteries,"The lesser curvature is supplied by the right gastric and left gastric arteries, which anastomose along the lesser curvature.",Important in gastric ulcer bleeding and gastric mobilization.,"Do not confuse with gastro-omental arteries, which follow the greater curvature.",Which arteries follow the lesser curvature of the stomach?,stomach; lesser curvature; gastric arteries,anat1_week_12; anat2_week_02,"{""arteries"": [{""name"": ""left gastric artery"", ""origin"": ""celiac trunk""}, {""name"": ""right gastric artery"", ""origin"": ""usually proper hepatic artery""}], ""nearby_ligament"": ""lesser omentum""}"
cc_stomach_fundus_short_gastric,topographic_vessel_relation,organ_stomach,fundus of stomach,supplied_by,artery_short_gastric,short gastric arteries,The fundus of the stomach is supplied mainly by short gastric arteries from the splenic artery.,May be involved during splenectomy or surgery near the gastric fundus.,Short gastric arteries are not the main answer for the entire greater curvature arcade.,Which arteries supply the fundus of the stomach?,stomach; fundus; short gastric arteries,anat1_week_12; anat2_week_02,"{""origin"": ""splenic artery"", ""route"": ""gastrosplenic ligament""}"
cc_duodenal_ulcer_gastroduodenal,clinical_vessel_relation,organ_duodenum,first part of duodenum,posterior_relation_vulnerable,artery_gastroduodenal,gastroduodenal artery,The gastroduodenal artery passes posterior to the first part of the duodenum and can bleed in a posterior duodenal ulcer.,Classic cause of severe upper gastrointestinal bleeding from posterior duodenal ulcer.,Anterior duodenal ulcers are more likely to perforate; posterior ulcers are classically associated with gastroduodenal artery bleeding.,Posterior duodenal ulcer bleeds from which artery? | Which vessel lies posterior to the first part of the duodenum?,duodenum; ulcer; gastroduodenal artery; bleeding,anat1_week_12; anat2_week_02,"{""spatial_relation"": ""posterior to superior/first part of duodenum"", ""source"": ""common hepatic artery""}"
cc_duodenum_third_part_sma,compression_relation,organ_duodenum,third part of duodenum,crossed_anteriorly_by,artery_superior_mesenteric,superior mesenteric artery,The superior mesenteric artery crosses anterior to the third/horizontal part of the duodenum.,"In SMA syndrome, the third part of the duodenum can be compressed between the SMA and aorta.","This is the third part of the duodenum, not the first part.",Which artery crosses anterior to the third part of the duodenum? | SMA syndrome compresses which part of the duodenum?,duodenum; SMA; compression,anat1_week_12; anat2_week_02,"{""spatial_relation"": ""SMA anterior, aorta posterior; duodenum between them""}"
cc_pancreatic_head_bile_duct,topographic_duct_relation,organ_pancreas,head of pancreas,adjacent_to,duct_common_bile,common bile duct,"The common bile duct passes posterior to, or through a groove in, the head of the pancreas before joining the pancreatic duct near the major duodenal papilla.",Carcinoma of the pancreatic head can cause obstructive jaundice.,Pancreatic tail lesions are more related to the splenic hilum; pancreatic head lesions classically affect the bile duct.,Pancreatic head tumor compresses which duct? | Which duct is related to the head of pancreas?,pancreas; bile duct; jaundice,anat1_week_13,"{""clinical_pattern"": ""pancreatic head mass may obstruct the common bile duct""}"
cc_pancreatic_tail_splenic_vessels,topographic_vessel_relation,organ_pancreas,tail of pancreas,related_to,artery_splenic,splenic vessels,The tail of the pancreas lies near the splenic hilum within the splenorenal ligament and is closely related to the splenic vessels.,Pancreatic tail can be injured during splenectomy.,Tail is near spleen; head is embraced by duodenum.,Which pancreatic part is near the splenic hilum? | Which vessels are closely related to the pancreatic tail?,pancreas; tail; splenic vessels,anat1_week_13,"{""space"": ""splenorenal ligament"", ""nearby_organ"": ""spleen""}"
cc_appendix_appendicular_artery,clinical_vessel_relation,organ_appendix,vermiform appendix,supplied_by,artery_appendicular,appendicular artery,"The appendix is supplied by the appendicular artery, usually a branch of the ileocolic artery from the superior mesenteric artery.",Thrombosis or obstruction of this end artery contributes to ischemia in appendicitis.,"The appendicular artery is from the SMA territory via ileocolic artery, not IMA.",Which artery supplies the appendix? | The appendicular artery is a branch of which artery?,appendix; appendicular artery; SMA,anat1_week_12; anat2_week_02,"{""route"": ""runs in the mesoappendix"", ""parent_vessel"": ""ileocolic artery""}"
cc_gallbladder_cystic_artery,clinical_vessel_relation,organ_gallbladder,gallbladder,supplied_by,artery_cystic,cystic artery,"The gallbladder is usually supplied by the cystic artery, most commonly a branch of the right hepatic artery.",Identifying the cystic artery is crucial during cholecystectomy.,Anatomical variations are common; do not assume the exact branching pattern without inspection in surgery.,Which artery supplies the gallbladder? | What vessel is clipped during cholecystectomy with the cystic duct?,gallbladder; cystic artery; hepatocystic triangle,anat1_week_13,"{""surgical_area"": ""Calot/hepatocystic triangle""}"
cc_liver_portal_triad,topographic_bundle_relation,organ_liver,porta hepatis / hepatoduodenal ligament,contains,bundle_portal_triad,portal triad,"The hepatoduodenal ligament contains the portal triad: proper hepatic artery, hepatic portal vein and bile duct.",Pringle maneuver compresses the hepatoduodenal ligament to control inflow bleeding to the liver.,Hepatic veins are not part of the portal triad; they drain directly into the IVC.,What structures are in the portal triad? | Which ligament contains the portal triad?,liver; portal triad; hepatoduodenal ligament,anat1_week_13,"{""arrangement"": ""classically bile duct right, proper hepatic artery left, portal vein posterior""}"
