id,statement_en,statement_sk,true_or_false,reasoning_en,reasoning_sk
id_0001,mol is aunit of the quantity : amount of substance,,TRUE,,
id_0002,kmol is aunit of the quantity : amount of substance,,TRUE,,
id_0003,mmol / ml is aunit of the quantity : amount of substance,,FALSE,"Incorrect as stated because mmol/ml is aunit of amount-of-substance concentration (amount per volume), not the base quantity amount of substance.",
id_0004,mmol is not aunit of the quantity : amount of substan ce,,FALSE,Incorrect as stated because mmol is avalid SI-derived unit for amount of substance (10⁻³ mol).,
id_0005,mol is not aunit of the quantity : mass,,TRUE,,
id_0006,one mol of substance can be expressed by means of the mass units,,TRUE,,
id_0007,one mol of substance can be unambiguously (positively) expressed using the volume units,,FALSE,"Incorrect as stated because converting moles to avolume requires additional information (e.g., density, concentration, or molar volume at specified conditions).",
id_0008,the mass of asample (matter) can be expressed by means of (converted to) the number of molecules,,TRUE,,
id_0009,the molar mass determines the relation betwen the volume and the amount of substance,,FALSE,"Incorrect as stated because molar mass relates mass to amount of substance (m = n·M). Volume–amount relations require density or molar volume, not molar mass alone.",
id_0010,the molar mass determines the relation betwen the mass and the amount of substance,,TRUE,,
id_0011,the unit mol / ml represents the molar concentration,,TRUE,,
id_0012,the unit mmol / ml represents the molar concentration,,TRUE,,
id_0013,the unit mmol / ml does not represent the molar concentration,,FALSE,Incorrect as stated because mmol/ml is an amount concentration unit (and is numerically equivalent to mol/L).,
id_0014,the unit mol / kg represents the molar concentration,,FALSE,"Incorrect as stated because mol/kg is aunit of molality (amount per mass of solvent), not molar concentration (amount per volume of solution).",
id_0015,one mol is approx . 6 x 1023 mg,,FALSE,Incorrect as stated because 1 mol denotes ~6.02×10²³ entities; it is not amass like mg.,
id_0016,one mol always represents 6 x 1023 atoms,,FALSE,"Incorrect as stated because 1 mol is Avogadro’snumber of entities (atoms, molecules, ions, etc.), not always atoms.",
id_0017,one kmol is approx . 6 x 1026 particles,,TRUE,,
id_0018,one mol is approx . 6.023 x 1023 particles,,TRUE,,
id_0019,the data obtained at mol / l can be also expressed as kg / l,,FALSE,"Incorrect as stated because converting mol/Lto kg/Lrequires the substance’smolar mass (and composition). Without that, molar concentration cannot be expressed as mass concentration.",
id_0020,the data obtained at mol / l can be also expressed as mmol / l,,TRUE,,
id_0021,the data obtained at kg / l cannot be also expressed as mol / l,,FALSE,Incorrect as stated because amass concentration (kg/L) can be converted to molar concentration (mol/L) if the molar mass (and composition) is known.,
id_0022,the value of mol / lis identical to the value of mmol / ml,,TRUE,,
id_0023,the value of mol / lis identical to the value of kmol / ml,,FALSE,"Incorrect as stated because 1 kmol/ml equals 10⁶ mol/L, so it is not identical to mol/L.",
id_0024,mg / ml is the unit for the density,,TRUE,,
id_0025,mg / ml is the unit for the concentration,,TRUE,,
id_0026,kg / lis not the unit for the density,,FALSE,Incorrect as stated because kg/Lis avalid unit for density (mass per volume).,
id_0027,kg / lis not the unit for the concentration,,FALSE,Incorrect as stated because kg/Lcan also express mass concentration (mass of solute per volume of solution).,
id_0028,the same units are used for the density and the concentration,,TRUE,,
id_0029,the same units are not applicable for the density and the concentration,,FALSE,"Incorrect as stated because density and mass concentration share the same dimensional unit (mass/volume), even though they describe different concepts.",
id_0030,errors of measurement can be instrument al and methodological,,TRUE,,
id_0031,errors are exclusively random and instrumental,,FALSE,"Incorrect as stated because measurement errors can be systematic or random, and can be instrumental, methodological, and personal (observer-related).",
id_0032,measurement scannot be influenced by personal error,,FALSE,"Incorrect as stated because personal/observer errors (e.g., reading/parallax, reaction time, transcription) can affect measurements.",
id_0033,an inappropriate calibration of the device results in an instrumental error,,TRUE,,
id_0034,the dimension of relat ive error is the same as the dimension (units) of the result,,FALSE,"Incorrect as stated because relative error is dimensionless (aratio), so it does not carry the units of the measured quantity.",
id_0035,the dimension of relative error is not the same as the dimension (units) of the results,,TRUE,,
id_0036,absol ute error of the measurement is expressed in per cent,,FALSE,"Incorrect as stated because absolute error is expressed in the same units as the measured quantity (e.g., mV, kg), not in percent.",
id_0037,absolute error of the measurement is not expressed in per cent,,TRUE,,
id_0038,relat ive error equals to the ratio of the absolute error and the result,,TRUE,,
id_0039,relative error is expressed in per cent,,TRUE,,
id_0040,statistical error is expressed exclusively as the absolute error,,FALSE,"Incorrect as stated because statistical error can be reported as an absolute quantity (e.g., SD, SEM) or as arelative quantity (e.g., % or coefficient of variation).",
id_0041,statistical error (of the measurement) can be expressed as both the absolute and the relative errors,,TRUE,,
id_0042,SEM ( SE) determine sthe interval in which the arithmetic mean ( average ) is never located,,FALSE,"Incorrect as stated because SEM quantifies uncertainty of the mean; it defines an interval around the sample mean in which the true mean is more likely to lie, not an interval the mean 'never' occupies.",
id_0043,SEM (SE) determines the interval in which the arithmetic mean (average ) is highly probably located,,TRUE,,
id_0044,there is over 60% probability that th earithmetic mean ( average ) is located in the interval between the mean minus SEM (SE) and the mean plus SEM,,TRUE,,
id_0045,there is below 60% probability that the arithmetic mean ( average ) is located in the interval betwen the mean minus SEM (SE) and the mean plus SEM,,FALSE,"Incorrect as stated because for anormal distribution, about 68% of sample means fall within ±1 SEM of the true mean (and confidence intervals are built from SEM), so the probability is not below 60%.",
id_0046,there is over 60% probability that the individual measurement appears in the interval between the arithmetic mean (average ) minus SD and the mean plus SD,,TRUE,,
id_0047,there is below 70% probability that the individual measurement appears in the interval between the arithmetic mean (average ) minus SD and the mean plus SD,,TRUE,,
id_0048,instrumental error of the measurement is always expressed in per cent,,FALSE,"Incorrect as stated because instrumental error is often an absolute tolerance (e.g., ±0.1 mV) and is not necessarily given as apercent.",
id_0049,random error of the measurement can be expressed in per cent,,TRUE,,
id_0050,SEM (SE) is always expressed in per cent,,FALSE,Incorrect as stated because SEM has the same units as the measured variable (unless you explicitly convert it to arelative/percent form).,
id_0051,SD can be expressed in per cent,,TRUE,,
id_0052,arithmetic mean (average ) is the most appropriate value that characterizes given quantity (at least within the normal Gauss distribution ),,TRUE,,
id_0053,arithmetic mean (average ) equals to the total (the sum) of all individual measurements (data) divided by the number of these measurements,,TRUE,,
id_0054,arithmetic mean (average ) equals to the total (the sum) of all individual measurements (data) multiplied by the number of these measurements,,FALSE,"Incorrect as stated because the arithmetic mean is the sum of all values divided by the number of values, not multiplied by it.",
