correlation_id,subject,target,relation_type,canonical_terms,direct_synonyms,misspellings,abbreviations,relation_phrases,negative_traps
cc_stomach_greater_curvature_gastro_omental,stomach: greater curvature,right and left gastro-omental arteries,artery_runs_along,stomach: greater curvature; right and left gastro-omental arteries; artery runs along; stomach; greater curvature; gastro-omental; blood supply,stomach; gaster; ventriculus; gastric; žalúdok; magen; greater curvature; curvatura major; great curvature; inferior border of stomach; inferior side of stomach; big curvature; outer curvature; large curvature; gastromental; gastro omental; gastroomental; gastroepiploic; gastro epiploic; gastrepiploic; gastroepiploick; gastro-omental artery; gastroepiploic artery; gastro omental artery; gastro-epiploic; arteria gastroomentalis; arteria gastroepiploica; right gastro-omental artery; right gastroepiploic artery; right gastro omental artery; arteria gastroomentalis dextra; arteria gastroepiploica dextra; left gastro-omental artery; left gastroepiploic artery; left gastro omental artery; arteria gastroomentalis sinistra; arteria gastroepiploica sinistra; artery along; artery passes along; artery runs on; blood supply of border; vessel on curvature; inferior side of stomach artery; great curvature artery; greater omentum artery; which artery passes along stomach greater curvature; gastrocolic ligament vessels; right and left gastroepiploic,gastromental; gastro omental; gastroomental; gastroepiploic; gastro epiploic; gastrepiploic; gastroepiploick,,artery along; artery passes along; artery runs on; blood supply of border; vessel on curvature,"Do not answer right gastric or left gastric artery; those follow the lesser curvature.; Short gastric arteries supply mainly the fundus near the superior part of the greater curvature, not the full inferior greater-curvature arcade."
cc_stomach_lesser_curvature_gastric,stomach: lesser curvature,right and left gastric arteries,artery_runs_along,stomach: lesser curvature; right and left gastric arteries; artery runs along; stomach; lesser curvature; gastric arteries,stomach; gaster; ventriculus; gastric; žalúdok; magen; lesser curvature; curvatura minor; small curvature; superior border of stomach; upper border of stomach; inner curvature; short gastric arteries; arteriae gastricae breves; short gastrics; artery along; artery passes along; artery runs on; blood supply of border; vessel on curvature; lesser curvature artery; small curvature artery; hepatogastric ligament vessels; right and left gastric,,,artery along; artery passes along; artery runs on; blood supply of border; vessel on curvature,"Do not confuse with gastro-omental arteries, which follow the greater curvature."
cc_stomach_fundus_short_gastric,fundus of stomach,short gastric arteries,supplied_by,fundus of stomach; short gastric arteries; supplied by; stomach; fundus,stomach; gaster; ventriculus; gastric; žalúdok; magen; short gastric arteries; arteriae gastricae breves; short gastrics; supplied by; blood supply; artery of; vascular supply; which artery supplies; fundus blood supply; gastric fundus artery,,,supplied by; blood supply; artery of; vascular supply; which artery supplies,Short gastric arteries are not the main answer for the entire greater curvature arcade.
cc_duodenal_ulcer_gastroduodenal,first part of duodenum,gastroduodenal artery,posterior_relation_vulnerable,first part of duodenum; gastroduodenal artery; posterior relation vulnerable; duodenum; ulcer; bleeding,duodenum; duodenal; dvanástnik; zwölffingerdarm; first part of duodenum; duodenal bulb; superior part of duodenum; pars superior duodeni; D1; duodenom; duodenumum; duedenum; gastroduodenal artery; arteria gastroduodenalis; GDA; gastro duodenal; gastrodoudenal; gastroduodinal; gastrodeuodenal; third part of duodenum; horizontal part of duodenum; inferior part of duodenum; pars horizontalis duodeni; D3; posterior relation; behind it; bleeds from; ulcer bleeding; what artery is posterior; posterior duodenal ulcer bleeding; duodenal bulb ulcer artery; D1 posterior artery; ulcer bleeds gastroduodenal,duodenum; duodenom; duodenumum; duodenal; duedenum; gastro duodenal; gastrodoudenal; gastroduodinal; gastrodeuodenal,D1; GDA; D3,posterior relation; behind it; bleeds from; ulcer bleeding; what artery is posterior,Anterior duodenal ulcers are more likely to perforate; posterior ulcers are classically associated with gastroduodenal artery bleeding.
cc_duodenum_third_part_sma,third part of duodenum,superior mesenteric artery,crossed_anteriorly_by,third part of duodenum; superior mesenteric artery; crossed anteriorly by; duodenum; SMA; compression,duodenum; duodenal; dvanástnik; zwölffingerdarm; third part of duodenum; horizontal part of duodenum; inferior part of duodenum; pars horizontalis duodeni; D3; duodenom; duodenumum; duedenum; superior mesenteric artery; arteria mesenterica superior; SMA; superior mesenteric a.; first part of duodenum; duodenal bulb; superior part of duodenum; pars superior duodeni; D1; crossed by; passes in front of; anterior relation; compresses; overlies; SMA syndrome; third part duodenum compression; D3 anterior artery; aorta SMA duodenum,duodenum; duodenom; duodenumum; duodenal; duedenum,D3; SMA; D1,crossed by; passes in front of; anterior relation; compresses; overlies,"This is the third part of the duodenum, not the first part."
cc_pancreatic_head_bile_duct,head of pancreas,common bile duct,adjacent_to,head of pancreas; common bile duct; adjacent to; pancreas; bile duct; jaundice,pancreas; pancreatic; pankreas; slinivka; head of pancreas; caput pancreatis; pancreatic head; pancreatis; pankreatic; common bile duct; ductus choledochus; bile duct; CBD; choledochus; tail of pancreas; cauda pancreatis; pancreatic tail; next to; relation of; nearby; lies adjacent to; close to; pancreatic head cancer jaundice; bile duct behind pancreas; choledochus pancreatic head,pancreas; pankreas; pancreatis; pankreatic,CBD,next to; relation of; nearby; lies adjacent to; close to,Pancreatic tail lesions are more related to the splenic hilum; pancreatic head lesions classically affect the bile duct.
cc_pancreatic_tail_splenic_vessels,tail of pancreas,splenic vessels,related_to,tail of pancreas; splenic vessels; related to; pancreas; tail,pancreas; pancreatic; pankreas; slinivka; tail of pancreas; cauda pancreatis; pancreatic tail; pancreatis; pankreatic; splenic vessels; splenic artery and vein; lienal vessels; arteria splenica; vena splenica; head of pancreas; caput pancreatis; pancreatic head; related to; near; runs with; associated with; splenic artery along pancreas; pancreatic tail splenic hilum; splenic vessels pancreas relation,pancreas; pankreas; pancreatis; pankreatic,,related to; near; runs with; associated with,Tail is near spleen; head is embraced by duodenum.
cc_appendix_appendicular_artery,vermiform appendix,appendicular artery,supplied_by,vermiform appendix; appendicular artery; supplied by; appendix; SMA,appendix; vermiform appendix; appendix vermiformis; slepé črevo appendix; appendicular artery; arteria appendicularis; appendix artery; apendicular; appendical; appendiceal; superior mesenteric artery; arteria mesenterica superior; SMA; superior mesenteric a.; supplied by; blood supply; artery of; vascular supply; which artery supplies; blood supply appendix; mesoappendix artery,apendicular; appendical; appendiceal,SMA,supplied by; blood supply; artery of; vascular supply; which artery supplies,"The appendicular artery is from the SMA territory via ileocolic artery, not IMA."
cc_gallbladder_cystic_artery,gallbladder,cystic artery,supplied_by,gallbladder; cystic artery; supplied by; hepatocystic triangle,gallbladder; vesica biliaris; vesica fellea; žlčník; gallenblase; cystic artery; arteria cystica; cistic; cystic; supplied by; blood supply; artery of; vascular supply; which artery supplies; artery gallbladder; Calot triangle artery; cholecystectomy cystic artery,cistic; cystic,,supplied by; blood supply; artery of; vascular supply; which artery supplies,Anatomical variations are common; do not assume the exact branching pattern without inspection in surgery.
cc_liver_portal_triad,porta hepatis / hepatoduodenal ligament,portal triad,contains,porta hepatis / hepatoduodenal ligament; portal triad; contains; liver; hepatoduodenal ligament,"porta hepatis; hepatic hilum; liver hilum; hepatoduodenal ligament; ligamentum hepatoduodenale; free edge of lesser omentum; hepato duodenal; hepatodoudenal; hepatoduodinal; portal triad; portal vein, hepatic artery, bile duct; triad; Glisson triad; contains; what is inside; contents; what passes in; portal triad contents; hepatoduodenal ligament contents; portal vein hepatic artery bile duct",hepato duodenal; hepatodoudenal; hepatoduodinal,,contains; what is inside; contents; what passes in,Hepatic veins are not part of the portal triad; they drain directly into the IVC.
