id,type,english,latin,german,region,system,parent_id,course_tags,key_features,clinical_notes,details_json,muscle_categories,muscle_parts,muscle_origin,muscle_insertion,muscle_innervation,muscle_blood_supply,muscle_actions,oral_exam_prompts,common_confusions,review_status
bone_vertebral_column,bone,vertebral column,columna vertebralis,Wirbelsäule,back,skeletal,,anat1_week_01; anat1_week_02,"cervical, thoracic, lumbar, sacral and coccygeal regions; protects spinal cord",,{},,,,,,,,,,seed_needs_review
bone_sternum,bone,sternum,sternum,Brustbein,thorax,skeletal,,anat1_week_01,"manubrium, body and xiphoid process; anterior thoracic wall landmark",,{},,,,,,,,,,seed_needs_review
bone_rib,bone,rib,costa,Rippe,thorax,skeletal,,anat1_week_01,"12 pairs; true, false and floating ribs",,{},,,,,,,,,,seed_needs_review
bone_frontal,bone,frontal bone,os frontale,Stirnbein,skull,skeletal,,anat1_week_02,"forehead, roof of orbit and anterior cranial fossa",,{},,,,,,,,,,seed_needs_review
bone_parietal,bone,parietal bone,os parietale,Scheitelbein,skull,skeletal,,anat1_week_02,paired bones of cranial vault,,{},,,,,,,,,,seed_needs_review
bone_occipital,bone,occipital bone,os occipitale,Hinterhauptbein,skull,skeletal,,anat1_week_02,posterior cranial fossa; foramen magnum and occipital condyles,,{},,,,,,,,,,seed_needs_review
bone_temporal,bone,temporal bone,os temporale,Schläfenbein,skull,skeletal,,anat1_week_03,external acoustic meatus; petrous part contains inner ear region,,{},,,,,,,,,,seed_needs_review
bone_sphenoid,bone,sphenoid bone,os sphenoidale,Keilbein,skull,skeletal,,anat1_week_02,central cranial base bone; sella turcica and major foramina,,{},,,,,,,,,,seed_needs_review
bone_ethmoid,bone,ethmoid bone,os ethmoidale,Siebbein,skull,skeletal,,anat1_week_02,cribriform plate; part of medial orbital wall and nasal cavity,,{},,,,,,,,,,seed_needs_review
bone_mandible,bone,mandible,mandibula,Unterkiefer,skull,skeletal,,anat1_week_03,lower jaw; only mobile skull bone,,{},,,,,,,,,,seed_needs_review
bone_maxilla,bone,maxilla,maxilla,Oberkiefer,skull,skeletal,,anat1_week_03,"upper jaw; hard palate, orbit floor and maxillary sinus",,{},,,,,,,,,,seed_needs_review
bone_palatine,bone,palatine bone,os palatinum,Gaumenbein,skull,skeletal,,anat1_week_03,posterior hard palate; part of nasal cavity and orbit,,{},,,,,,,,,,seed_needs_review
bone_clavicle,bone,clavicle,clavicula,Schlüsselbein,upper limb,skeletal,,anat1_week_04; anat1_week_05,connects upper limb to axial skeleton,,{},,,,,,,,,,seed_needs_review
bone_scapula,bone,scapula,scapula,Schulterblatt,upper limb,skeletal,,anat1_week_04; anat1_week_05,"spine, acromion, coracoid process and glenoid cavity",,{},,,,,,,,,,seed_needs_review
bone_humerus,bone,humerus,humerus,Oberarmknochen,upper limb,skeletal,,anat1_week_04; anat1_week_05,arm bone; surgical neck and radial groove are clinically important,,{},,,,,,,,,,seed_needs_review
bone_radius,bone,radius,radius,Speiche,upper limb,skeletal,,anat1_week_04; anat1_week_05,lateral forearm bone in anatomical position,,{},,,,,,,,,,seed_needs_review
bone_ulna,bone,ulna,ulna,Elle,upper limb,skeletal,,anat1_week_04; anat1_week_05,medial forearm bone; olecranon and trochlear notch,,{},,,,,,,,,,seed_needs_review
bone_hip,bone,hip bone,os coxae,Hüftbein,pelvis,skeletal,,anat1_week_05,"ilium, ischium and pubis; acetabulum and obturator foramen",,{},,,,,,,,,,seed_needs_review
bone_femur,bone,femur,femur,Oberschenkelknochen,lower limb,skeletal,,anat1_week_05; anat1_week_06,"longest bone; head, neck and trochanters",,{},,,,,,,,,,seed_needs_review
bone_tibia,bone,tibia,tibia,Schienbein,lower limb,skeletal,,anat1_week_05; anat1_week_06,medial weight-bearing leg bone,,{},,,,,,,,,,seed_needs_review
bone_fibula,bone,fibula,fibula,Wadenbein,lower limb,skeletal,,anat1_week_05; anat1_week_06,lateral leg bone; common fibular nerve near neck,,{},,,,,,,,,,seed_needs_review
bone_patella,bone,patella,patella,Kniescheibe,lower limb,skeletal,,anat1_week_05; anat1_week_06,sesamoid bone in quadriceps tendon,,{},,,,,,,,,,seed_needs_review
joint_atlanto_occipital,joint,atlanto-occipital joint,articulatio atlantooccipitalis,oberes Kopfgelenk,neck,skeletal,,anat1_week_03,occipital condyles with atlas; nodding movement,,{},,,,,,,,,,seed_needs_review
joint_atlanto_axial,joint,atlanto-axial joint,articulatio atlantoaxialis,unteres Kopfgelenk,neck,skeletal,,anat1_week_03,atlas with axis; rotation of head,,{},,,,,,,,,,seed_needs_review
joint_shoulder,joint,shoulder joint,articulatio glenohumeralis,Schultergelenk,upper limb,skeletal,,anat1_week_05,ball-and-socket joint; humeral head with glenoid cavity,,{},,,,,,,,,,seed_needs_review
joint_elbow,joint,elbow joint,articulatio cubiti,Ellenbogengelenk,upper limb,skeletal,,anat1_week_05,"hinge joint complex; humerus, ulna and radius",,{},,,,,,,,,,seed_needs_review
joint_hip,joint,hip joint,articulatio coxae,Hüftgelenk,lower limb,skeletal,,anat1_week_05,ball-and-socket joint; femoral head with acetabulum,,{},,,,,,,,,,seed_needs_review
joint_knee,joint,knee joint,articulatio genus,Kniegelenk,lower limb,skeletal,,anat1_week_05,largest synovial joint; menisci and cruciate ligaments,,{},,,,,,,,,,seed_needs_review
artery_aorta,artery,aorta,aorta,Aorta,thorax; abdomen,cardiovascular,,anat1_week_09; anat2_week_02,main systemic arterial trunk,,"{""origin"":""left ventricle"",""branches"":[""coronary arteries"",""arch branches"",""visceral abdominal branches""]}",,,,,,,,,,seed_needs_review
artery_pulmonary_trunk,artery,pulmonary trunk,truncus pulmonalis,Lungenstamm,thorax,cardiovascular,,anat1_week_09,carries deoxygenated blood from right ventricle to lungs,,"{""origin"":""right ventricle"",""branches"":[""right pulmonary artery"",""left pulmonary artery""]}",,,,,,,,,,seed_needs_review
artery_right_coronary,artery,right coronary artery,arteria coronaria dextra,rechte Herzkranzarterie,heart,cardiovascular,,anat1_week_09; anat1_week_10,coronary artery supplying right heart and often AV node,,"{""origin"":""ascending aorta"",""branches"":[""right marginal artery"",""posterior interventricular artery in right dominance""]}",,,,,,,,,,seed_needs_review
artery_left_coronary,artery,left coronary artery,arteria coronaria sinistra,linke Herzkranzarterie,heart,cardiovascular,,anat1_week_09; anat1_week_10,divides into anterior interventricular and circumflex branches,,"{""origin"":""ascending aorta"",""branches"":[""anterior interventricular artery"",""circumflex artery""]}",,,,,,,,,,seed_needs_review
artery_common_carotid,artery,common carotid artery,arteria carotis communis,gemeinsame Halsschlagader,neck,cardiovascular,,anat2_week_04,bifurcates into internal and external carotid arteries,,"{""branches"":[""internal carotid artery"",""external carotid artery""]}",,,,,,,,,,seed_needs_review
artery_internal_carotid,artery,internal carotid artery,arteria carotis interna,innere Halsschlagader,neck; brain,cardiovascular,,anat2_week_04; anat2_week_10,major supply to brain and orbit,,"{""branches"":[""ophthalmic artery"",""cerebral branches""]}",,,,,,,,,,seed_needs_review
artery_external_carotid,artery,external carotid artery,arteria carotis externa,äußere Halsschlagader,neck; face,cardiovascular,,anat2_week_04,"supplies face, scalp and neck",,"{""branches"":[""superior thyroid"",""lingual"",""facial"",""occipital"",""maxillary"",""superficial temporal""]}",,,,,,,,,,seed_needs_review
artery_subclavian,artery,subclavian artery,arteria subclavia,Unterschlüsselbeinarterie,neck; upper limb,cardiovascular,,anat1_week_06; anat2_week_04,continues as axillary artery,,"{""branches"":[""vertebral artery"",""internal thoracic artery"",""thyrocervical trunk""]}",,,,,,,,,,seed_needs_review
artery_axillary,artery,axillary artery,arteria axillaris,Achselarterie,upper limb; axilla,cardiovascular,,anat1_week_06,main artery of axilla,,"{""branches"":[""thoracoacromial"",""lateral thoracic"",""subscapular"",""circumflex humeral arteries""]}",,,,,,,,,,seed_needs_review
artery_brachial,artery,brachial artery,arteria brachialis,Oberarmarterie,upper limb,cardiovascular,,anat1_week_06,main artery of arm,,"{""branches"":[""profunda brachii artery"",""radial artery"",""ulnar artery""]}",,,,,,,,,,seed_needs_review
artery_radial,artery,radial artery,arteria radialis,Speichenarterie,upper limb,cardiovascular,,anat1_week_06,lateral forearm artery; palpable radial pulse,,"{""continuation"":""deep palmar arch contribution""}",,,,,,,,,,seed_needs_review
artery_ulnar,artery,ulnar artery,arteria ulnaris,Ellenarterie,upper limb,cardiovascular,,anat1_week_06,medial forearm artery; major superficial palmar arch contributor,,"{""branches"":[""common interosseous artery""]}",,,,,,,,,,seed_needs_review
