question_id,origin,type,prompt,correct_answer,correct_answer_latin,correct_answer_german,distractors,concept_ids,source_relation_id,relation_type,direction,evidence_status,quiz_eligible,status,generation_rule,explanation
graph_rel_0003_f,anatomy_graph,multiple_choice,Which structure arises as a branch from aorta?,celiac trunk,truncus coeliacus,Truncus coeliacus,proper hepatic artery; splenic artery; left gastric artery,artery_aorta; artery_celiac_trunk,rel_0003,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,aorta gives a branch to celiac trunk.
graph_rel_0004_f,anatomy_graph,multiple_choice,Which structure arises as a branch from aorta?,superior mesenteric artery,arteria mesenterica superior,obere Mesenterialarterie,inferior epigastric artery; proper hepatic artery; splenic artery,artery_aorta; artery_superior_mesenteric,rel_0004,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,aorta gives a branch to superior mesenteric artery.
graph_rel_0005_f,anatomy_graph,multiple_choice,Which structure arises as a branch from aorta?,inferior mesenteric artery,arteria mesenterica inferior,untere Mesenterialarterie,appendicular artery; proper hepatic artery; left gastric artery,artery_aorta; artery_inferior_mesenteric,rel_0005,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,aorta gives a branch to inferior mesenteric artery.
graph_rel_00057_f,anatomy_graph,multiple_choice,Which structure arises as a branch from subclavian artery?,vertebral artery,arteria vertebralis,Wirbelarterie,internal carotid artery; deep cervical artery; posterior communicating artery,artery_subclavian; artery_vertebral,rel_00057,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,subclavian artery gives a branch to vertebral artery.
graph_rel_00058_f,anatomy_graph,multiple_choice,What does vertebral artery join to form?,basilar artery,arteria basilaris,Basilararterie,middle meningeal artery; obturator artery; common iliac artery,artery_vertebral; artery_basilar,rel_00058,joins_to_form,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:joins_to_form:forward,vertebral artery joins to form basilar artery.
graph_rel_00059_f,anatomy_graph,multiple_choice,Which structure arises as a branch from internal carotid artery?,anterior cerebral artery,arteria cerebri anterior,vordere Hirnarterie,posterior cerebral artery; vertebral artery; anterior communicating artery,artery_internal_carotid; artery_anterior_cerebral,rel_00059,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,internal carotid artery gives a branch to anterior cerebral artery.
graph_rel_0006_f,anatomy_graph,multiple_choice,Which structure arises as a branch from aorta?,common iliac artery,arteria iliaca communis,gemeinsame Darmbeinarterie,inferior gluteal artery; internal iliac artery; external iliac artery,artery_aorta; artery_common_iliac,rel_0006,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,aorta gives a branch to common iliac artery.
graph_rel_00060_f,anatomy_graph,multiple_choice,Which structure arises as a branch from internal carotid artery?,middle cerebral artery,arteria cerebri media,mittlere Hirnarterie,anterior communicating artery; posterior cerebral artery; vertebral artery,artery_internal_carotid; artery_middle_cerebral,rel_00060,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,internal carotid artery gives a branch to middle cerebral artery.
graph_rel_00061_f,anatomy_graph,multiple_choice,Which structure arises as a branch from basilar artery?,posterior cerebral artery,arteria cerebri posterior,hintere Hirnarterie,middle cerebral artery; posterior communicating artery; anterior cerebral artery,artery_basilar; artery_posterior_cerebral,rel_00061,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,basilar artery gives a branch to posterior cerebral artery.
graph_rel_00062_f,anatomy_graph,multiple_choice,Which structure arises as a branch from internal carotid artery?,posterior communicating artery,arteria communicans posterior,hintere Verbindungsarterie,posterior cerebral artery; anterior communicating artery; vertebral artery,artery_internal_carotid; artery_posterior_communicating,rel_00062,gives_branch_to,forward,seed_needs_review,false,generated_from_graph_needs_review,relation:gives_branch_to:forward,internal carotid artery gives a branch to posterior communicating artery.
