category,abbreviation,full_form,english_translation,slovak_translation,german_translation
clinic,a./aa.,arteria/arteriae,artery/arteries,tepna/tepny,Arterie/Arterien
clinic,acut.,"acutus,a,um",acute,akútny,akut
clinic,ant.,"anterior,ius",anterior,predný,anterior
clinic,C,vertebra cervicalis,cervical vertebra,krčný stavec,zervikaler Wirbel
clinic,c.,cum,with,s,mit
clinic,ca.,"carcinoma,atis,n.",carcinoma,karcinóm,Karzinom
clinic,caud.,"caudalis,e",caudal,kaudálny,kaudal
clinic,chron.,"chronicus,a,um",chronic,chronický,chronisch
clinic,compl.,"complicatus,a,um",complicated,komplikovaný,kompliziert
clinic,corp.,"corpus,oris,n.",body,telo,Körper
clinic,cran.,"cranialis,e",cranial,kraniálny,kranial
clinic,d.,"diaeta,ae,f.",diet,diéta,Diät
clinic,dc./dcc.,"ductus,us,m.",canal/canals,kanál/kanály,Gang/Gänge
clinic,dg.,"diagnosis,is,f.",diagnosis,diagnóza,Diagnose
clinic,dist.,"distalis,e",distal,distálny,distal
clinic,dors.,"dorsalis,e",dorsal,dorzálny,dorsal
clinic,dup.,"duplex,plicis",double/twofold,dvojitý,doppelt
clinic,dx.,"dexter,tra,trum",right,pravý,rechts
clinic,Ery,erythrocytus/erythrocyti,erythrocyte(s),erytrocyt(y),Erythrozyt(en)
clinic,exc.,"excisio,onis,f.",excision,excízia,Exzision
clinic,ext.,"externus,a,um",external,externý,extern
clinic,fac.,"facies,ei,f.",face/surface,povrch,Fläche
clinic,fasc.,fascia / fasciculus,fascia / fascicle,fascie / zväzok,Faszie / Faszikel

clinic,fib.,fibularis,e,fibular,fibulárny,fibulär
clinic,front.,frontalis,e,frontal,frontálny,frontal
clinic,ggl./ggll.,ganglion/ganglia,ganglion/ganglia,ganglion/gangliá,Ganglion/Ganglien
clinic,gl./gll.,glandula/glandulae,gland/glands,žľaza/žľazy,Drüse/Drüsen
clinic,i.a.,intraarteriosus / intraarticularis,intraarterious / intraarticular,intraarteriálny / intraartikulárny,intraarteriell / intraartikulär
clinic,i.c.,intracutaneus,intracutaneous,intrakutánny,intrakutan
clinic,i.m.,intramuscularis,intramuscular,intramuskulárny,intramuskulär
clinic,inf.,inferior / infans,inferior / child,dolný / dieťa,inferior / Kind
clinic,inj.,injectio/injectiones,injection/injections,injekcia/Injekcie,Injektion/Injektionen
clinic,int.,internus,internal,vnútorný,intern
clinic,i.v.,intravenosus,intravenous,intravenózny,intravenös
clinic,L,vertebra lumbalis,lumbar vertebra,driekový stavec,lumbaler Wirbel
clinic,lat.,lateralis,lateral,laterálny,lateral
clinic,lat.dx.,lateris dextri,right (right side),vpravo,rechts
clinic,lat.sin.,lateris sinistri,left (left side),vľavo,links
clinic,lat.utr.,lateris utriusque,both sides,obojstranne,beidseits
clinic,Leu,leucocytus/leucocyti,leukocyte(s),leukocyt(y),Leukozyt(en)
clinic,lig./ligg.,ligamentum/ligamenta,ligament(s),väz/väzy,Band/Bänder
clinic,lin.,linea,line,čiara,Linie
clinic,m./mm.,musculus/musculi,muscle(s),sval(y),Muskel/Muskeln
clinic,med.,medialis,medial,mediálny,medial
clinic,memb.,membrum,limb,končatina,Gliedmaße
clinic,n./nn.,nervus/nervi,nerve(s),nerv(y),Nerv(en)
clinic,ncl./ncll.,nucleus/nuclei,nucleus/nuclei,jadro/jadrá,Kern/Kerne
clinic,neg.,negativus,negative,negatívny,negativ
clinic,obj.,objectivus,objective,objektívny,objektiv

clinic,p.,"pars,partis,f.",part/portion,časť,Teil
clinic,palm.,"palmaris,e",palmar,dlaňový,palmar
clinic,plant.,"plantaris,e",plantar,plantárny,plantar
clinic,pos.,"positivus,a,um",positive,pozitívny,positiv
clinic,post.,"posterior,ius",posterior,zadný,posterior
clinic,p.p.,sanatio per primam,healing without complications,hojenie bez komplikácií,primäre Heilung
clinic,p.s.,sanatio per secundam,healing with complications,hojenie s komplikáciami,sekundäre Heilung
clinic,p.r.,per rectum,through the rectum,rektálne,per rectum
clinic,proc./procc.,"processus,us,m.",process/processes,výbežok/proces,Prozess/Prozesse
clinic,prox.,"proximalis,e",proximal,proximálny,proximal
clinic,p.v.,per vaginam,through the vagina,vaginálne,per vaginam
clinic,px./pxx.,"plexus,us,m.",plexus/plexuses,plexus,Plexus
clinic,r./rr.,ramus/rami,branch/branches,výbežok/vetva,Ast/Zweige
clinic,rad.,"radialis,e",radial,radiálny,radial
clinic,rec./recess.,"recessus,us,m.",recess,priestor/recese,Rezess
clinic,reg.,"regio,onis,f.",region,oblasť,Region
clinic,RHB,"rehabilitatio,onis,f.",rehabilitation,rehabilitácia,Rehabilitation
clinic,S,os sacrum,sacral bone,krížová kosť,Kreuzbein
clinic,subj.,"subjectivus,a,um",subjective,subjektívny,subjektiv
clinic,sa,"sarcoma,atis,n.",sarcoma,sarkóm,Sarkom
clinic,sag.,"sagittalis,e",sagittal,sagitálny,sagittal
clinic,s.c.,"subcutaneus,a,um",subcutaneous,podkožný,subkutan
clinic,sc./scc.,sulcus/sulci,furrow/furrows,ryha, Furche/Furchen
clinic,simpl.,"simplex,plicis",simple,jednoduchý,einfach
clinic,sin./sinn.,sinus/sinister,sinus / left,dutina / ľavý,Sinus / links
clinic,st.,"status,us,m.",state/condition,stav,Zustand

clinic,st.obj.,status objectivus,objective state,objektívny stav,objektiver Zustand
clinic,st.p.(o.),status post operationem,state after operation,stav po operácii,Zustand nach Operation
clinic,st.subj.,status subjectivus,subjective state,subjektívny stav,subjektiver Zustand
clinic,stat.,statim,immediately,okamžite,sofort
clinic,subj.,subjectivus,subjective,subjektívny,subjektiv
clinic,sup.,superior,superior,horný,superior
clinic,susp.,suspectus,suspect,podozrivý,verdächtig
clinic,T,vertebra thoracica,thoracic vertebra,hrudný stavec,thorakaler Wirbel
clinic,Th.,therapia,therapy,liečba,Therapie
clinic,Thr,thrombocytus/thrombocyti,thrombocyte(s),trombocyt(y),Thrombozyt(en)
clinic,tib.,tibialis,tibial,tibiálny,tibial
clinic,tr.,tractus,tract/apparatus,trakt,Trakt
clinic,tu,tumor,tumour,nádor,Tumor
clinic,uln.,ulnaris,ulnar,ulnárny,ulnar
