english_translation,latin_translation,greek_translation,slovak_translation,german_translation
"air, breath",,"pneuma, pneumatos; aēr, aeros","vzduch, dych","die Luft, der Atem"
all,"omnis, e","pās, pantos","všetko","alles"
animal,"animal, ālis, n.","zōon","živočích","das Tier"
appendix,"appendix, icis, f.","epityflon","apendix, červovitý prívesok","der Appendix, der Wurmfortsatz"
backbone,"columna vertebrālis","rhachis, rhacheōs","chrbtica","die Wirbelsäule"
bent,"flexus, a, um",kyphos,"ohnutý","gebeugt"
big,"magnus, a, um","makros; megas, megalō","veľký","groß"
bile,"bilis, is, f.",cholē,"žlč","die Galle"
bird,"avis, is, f.","ornis, ornithos","vták","der Vogel"
black,"niger, gra, grum","melas, melanos","čierny","schwarz"
bladder,"vēsīca, ae, f.","kystis, kysteōs","močový mechúr","die Harnblase"
blood,"sanguis, inis, m.","haima, haimatos","krv","das Blut"
blue,"lividus, a, um",kyaneos,"modrý","blau"
body,"corpus, oris, n.","sōma, sōmatos","telo","der Körper"
bone,"os, ossis, n.",osteon,"kosť","der Knochen"
brain,"cerebrum, ī, n.",enkephalos,"mozog","das Gehirn"
breast,"mamma, ae, f.",mastos,"prsník","die Brust"
cartilage,"cartilāgō, inis, f.",chondros,"chrupavka","der Knorpel"
cause,"causa, ae, f.",aitia,"príčina","die Ursache"
cecum,"intestīnum caecum",tyflon,"slepé črevo","der Blinddarm"
cell,"cellula, ae, f.","kytos, kytūs","bunka","die Zelle"
chest,"pectus, oris, n.","thōrax, thōrakos","hrudník","der Brustkorb"
circle,"circulus, ī, m.",kyklos,"kruh","der Kreis"
clavicle,"clāvicula, ae, f.","kleis, kleidos","kľúčna kosť","das Schlüsselbein"
colour,"color, ōris, m.","chrōma, chrōmatos","farba","die Farbe"
cure,"cōrātiō, ōnis, f.",therapeia,"liečba","die Therapie"
curved,"curvus, a, um",skolios,"zakrivený","gekrümmt"
dead,"mortuus, a, um",nekros,"mŕtvy","tot"
death,"mors, mortis, f.",thanatos,"smrť","der Tod"
delivery,"partus, ūs, m.",tokos,"pôrod","die Geburt"
disease,"morbus, ī, m.","pathos; nosos","choroba","die Krankheit"
different,"alter, era, erum","heteros","iný","anders"
double,"duplex, icis","didymos; diplus","dvojitý","doppelt"
ear,"auris, is, f.","ūs, ōtos","ucho","das Ohr"
eye,"oculus, ī, m.",ophthalmos,"oko","das Auge"
fat,"adeps, ipis, m.","stear, steatos; lipos","tuk","das Fett"
fever,"febris, is, f.",pyretos,"horúčka","das Fieber"
hand,"manus, ūs, f.","cheir, cheiros","ruka","die Hand"
heart,"cor, cordis, n.",kardia,"srdce","das Herz"
kidney,"rēn, rēnis, m.",nephros,"oblička","die Niere"
liver,"iecur, oris, n.","hēpar, hēpatos","pečeň","die Leber"
lung,"pulmō, ōnis, m.","pneumōn, pneumonos","pľúca","die Lunge"
nerve,"nervus, ī, m.",neuron,"nerv","der Nerv"
pain,"dolor, ōris, m.","algos; odynē","bolesť","der Schmerz"
skin,"cutis, is, f.","derma, dermatos","koža","die Haut"
stomach,"ventriculus, ī, m.","gastēr; stomachos","žalúdok","der Magen"
vein,"vēna, ae, f.","phleps, phlebos","žila","die Vene"
woman,"fēmina, ae, f.","gynē, gynaikos","žena","die Frau"
wound,"vulnus, eris, n.","trauma, traumatos","rana","die Wunde"
