id_anamnesis,english_translation,slovak_translation
ped_anamnesis,Anamnesis - Pediatrics,Anamnéza - Pediatria
ped_n_1_identification,1. Identification,1. Identifikácia
ped_full_name,Full name,Celé meno
ped_date_of_birth,Date of birth,Dátum narodenia
ped_age,Age,Vek
ped_sex,Sex,Pohlavie
ped_male,Male,Muž
ped_female,Female,Žena
ped_address_city,Address (City),Adresa (Mesto)
ped_n_2_chief_complaint,2. Chief Complaint,2. Hlavná ťažkosť
ped_admitted_on,Admitted on (date/time),Prijatý dňa (dátum/čas)
ped_main_reason_for_admission,Main reason for admission (caregiver's / patient's words),Hlavný dôvod prijatia (slovami rodiča alebo dieťaťa)
ped_n_3_hpi,3. History of Present Illness (SOCRATES),3. Anamnéza súčasného ochorenia (SOCRATES)
ped_site_system_involved,Site / System involved,Miesto / postihnutý systém
ped_onset_when_doing_what,Onset (When? Doing what?),Začiatok (Kedy? Pri akej činnosti?)
ped_timing_how_often,Timing (How often?),Trvanie / Ako často
ped_exacerbating_factors,Exacerbating factors,Zhoršujúce faktory
ped_relieving_factors,Relieving factors,Zmierňujúce faktory
ped_radiation_spread,Radiation / Spread,Vyžarovanie / šírenie
ped_character_nature,Character / Nature of symptom,Charakter / povaha symptómu
ped_mild,Mild,Mierny
ped_moderate,Moderate,Stredný
ped_severe,Severe,Ťažký
ped_progressive,Progressive,Progresívny
ped_episodic,Episodic,Epizodický
ped_fluctuating,Fluctuating,Kolísavý
ped_other,Other,Iné
ped_associated_symptoms,Associated symptoms,Pridružené príznaky
ped_fever,Fever,Horúčka
ped_fatigue,Fatigue,Únava
ped_irritability,Irritability,Podráždenosť
ped_poor_feeding,Poor feeding,Zlé prijímanie potravy
ped_cough,Cough,Kašeľ
ped_gi_symptoms,GI symptoms,Gastrointestinálne príznaky
ped_rash,Rash,Vyrážka
ped_sleep_changes,Sleep changes,Zmeny spánku
ped_behavioral_changes,Behavioral changes,Zmeny správania
ped_school_issues,School issues,Problémy v škole
ped_severity_impact,Severity / impact on functioning,Závažnosť / vplyv na fungovanie
ped_minimal,Minimal,Minimálny
