question_id,type,prompt,correct_answer,distractors,concept_ids,explanation,tags,status
anat_struct_q_001,multiple_choice,Which nerve passes through the carpal tunnel?,median nerve,ulnar nerve | radial nerve | axillary nerve,nerve_median; space_carpal_tunnel,The median nerve passes through the carpal tunnel with flexor tendons.,upper limb; nerve; space,seed_needs_review
anat_struct_q_002,multiple_choice,Which artery passes through the foramen spinosum?,middle meningeal artery,facial artery | ophthalmic artery | internal carotid artery,artery_middle_meningeal; foramen_spinosum,The middle meningeal artery enters the cranial cavity through the foramen spinosum.,skull; foramen,seed_needs_review
anat_struct_q_003,typing,Give the Latin name for the sphenoid bone.,os sphenoidale,,bone_sphenoid,,latin; skull,seed_needs_review
anat_struct_q_004,multiple_choice,Which structure is most associated with wrist drop after humeral shaft fracture?,radial nerve,median nerve | ulnar nerve | musculocutaneous nerve,nerve_radial; bone_humerus,The radial nerve runs in the radial groove of the humerus and supplies extensors.,upper limb; clinical,seed_needs_review
anat_struct_q_005,multiple_choice,Which artery is the major blood supply to the femoral head?,medial circumflex femoral artery,lateral circumflex femoral artery | popliteal artery | anterior tibial artery,artery_medial_circumflex_femoral; bone_femur,,lower limb; clinical,seed_needs_review
anat_struct_q_006,multiple_choice,Which dural venous sinus continues as the internal jugular vein?,sigmoid sinus,straight sinus | superior sagittal sinus | cavernous sinus,sinus_sigmoid; vein_internal_jugular,,venous sinus,seed_needs_review
anat_struct_q_007,multiple_choice,Which cranial nerve exits via the hypoglossal canal?,hypoglossal nerve,vagus nerve | facial nerve | glossopharyngeal nerve,nerve_cn_xii; canal_hypoglossal,,cranial nerves; skull base,seed_needs_review
anat_struct_q_008,multiple_choice,Which vessel is the continuation of the anterior tibial artery on the dorsum of the foot?,dorsalis pedis artery,posterior tibial artery | fibular artery | popliteal artery,artery_dorsalis_pedis; artery_anterior_tibial,,lower limb; artery,seed_needs_review
anat_struct_q_009,multiple_choice,Which organ lies in the sella turcica?,pituitary gland,thyroid gland | pineal gland | parathyroid gland,gland_pituitary; bone_sphenoid,,endocrine; skull,seed_needs_review
anat_struct_q_010,multiple_choice,Which nerve is classically injured in surgical neck fracture of the humerus?,axillary nerve,radial nerve | median nerve | ulnar nerve,nerve_axillary; bone_humerus,The axillary nerve passes near the surgical neck of the humerus.,upper limb; clinical,seed_needs_review
