id_anamnesis,english_translation,slovak_translation
anam_anamnesis,Anamnesis,Anamnéza
anam_n_1_identification,1. Identification,1. Identifikácia
anam_full_name,Full name,Celé meno
anam_date_of_birth_age,Date of birth / Age,Dátum narodenia / Vek
anam_sex,Sex,Pohlavie
anam_male,Male,Muž
anam_female,Female,Žena
anam_address_city,Address (City),Adresa (Mesto)
anam_admitted_on_date_time,Admitted on (date/time),Prijatý dňa (dátum/čas)
anam_n_2_chief_complaint,2. Chief Complaint,2. Terajšie ochorenie
anam_main_reason_for_admission_caregiver_s_patient_s_words,Main reason for admission (caregiver's / patient's words),Hlavný dôvod prijatia (slová opatrovníka/pacienta)
anam_n_3_history_of_present_illness_socrates,3. History of Present Illness (SOCRATES),3. Anamnéza terajšieho ochorenia (SOCRATES)
anam_site_system_involved,Site / System involved,Miesto / Postihnutý systém
anam_onset_when_did_it_start,Onset (When did it start?),Nástup (Kedy to začalo?)
anam_what_were_you_doing_at_onset,What were you doing at onset?,Čo ste robili keď vám to začalo?
anam_timing_duration,Timing / Duration,Trvanie
anam_exacerbating_factors,Exacerbating factors,Zhoršujúce faktory
anam_relieving_factors,Relieving factors,Zmierňujúce faktory
anam_character_type_of_symptoms,Character / Type of symptoms,Charakter / Typ symptómov
anam_mild,Mild,Mierne
anam_moderate,Moderate,Mierne silné
anam_severe,Severe,Ťažké
anam_progressive,Progressive,Progresívne
anam_episodic,Episodic,Epizodický
anam_fluctuating,Fluctuating,Kolísavý
anam_other,Other,Iné
anam_character_of_pain,Character of pain,Charakter bolesti
anam_sharp,Sharp,Ostrá
anam_dull,Dull,Tupá
anam_burning,Burning,Pálivá
anam_pressing,Pressing,Tlačiaca
anam_colicky,Colicky,Kŕčovitá
anam_radiation,Radiation,Vyžarovanie
anam_no,No,Nie
anam_yes,Yes,Áno
anam_where,Where?,Kde?
anam_associated_symptoms,Associated symptoms,Pridružené symptómy
anam_fever,Fever,Horúčka
anam_headache,Headache,Bolesť hlavy
anam_nausea,Nausea,Nevoľnosť
anam_vomiting,Vomiting,Zvracanie
anam_cough,Cough,Kašeľ
anam_dyspnea,Dyspnea,Dýchavičnosť
anam_palpitations,Palpitations,Palpitácie
anam_severity_vas,Severity (VAS),Závažnosť (VAS)
anam_n_1_10,1-10,1-10
anam_course_since_onset,Course since onset,Priebeh od začiatku
anam_improving,Improving,Zlepšovanie
anam_worsening,Worsening,Zhoršenie
anam_unchanged,Unchanged,Nezmenené
anam_recurrent,Recurrent,Opakujúce sa
anam_notes,Notes,Poznámky
anam_n_4_review_of_systems,4. Review of Systems,4. Prehľad systémov
anam_general,General,generál
anam_weight_loss_12_months,Weight loss (12 months),Chudnutie (12 mesiacov)
anam_weight_gain_12_months,Weight gain (12 months),Nárast hmotnosti (12 mesiacov)
anam_fatigue,Fatigue,Únava
