name,english_description,slovak_description,german_description
abortiva,substances that induce abortion,látky vyvolávajúce potrat,Stoffe die einen Schwangerschaftsabbruch auslösen
adiuvantia,agents that modify the effect of other drugs or enhance immune response,látky zosilňujúce účinok iných liekov alebo imunitnú odpoveď,Wirkstoffe die die Wirkung anderer Arzneien verstärken oder die Immunantwort erhöhen
amara,bitter substances improving appetite,horké látky zlepšujúce chuť do jedla,Bitterstoffe zur Appetitanregung
anaesthetica,drugs causing loss of sensation used in surgery,lieky vyvolávajúce stratu citlivosti používané v chirurgii,Arzneimittel zur Ausschaltung der Empfindung
analeptica,central nervous system stimulants,stimulanciá centrálneho nervového systému,ZNS stimulierende Arzneimittel
analgetica,drugs relieving pain without loss of consciousness,lieky tlmiace bolesť bez straty vedomia,schmerzlindernde Arzneimittel
antacida,substances that neutralize gastric acid,látky neutralizujúce žalúdočnú kyselinu,Mittel zur Neutralisation der Magensäure
antiallergica,drugs preventing or relieving allergic reactions,lieky potláčajúce alergické reakcie,Arzneimittel gegen allergische Reaktionen
antianaemica,agents increasing red blood cells or hemoglobin,látky zvyšujúce počet erytrocytov alebo hemoglobínu,Mittel zur Behandlung der Anämie
antibiotica,agents inhibiting or killing bacteria,lieky pôsobiace proti baktériám,bakterienhemmende oder bakterizide Arzneimittel
anticoagulantia,substances preventing blood coagulation,látky zabraňujúce zrážaniu krvi,gerinnungshemmende Substanzen
anticonvulsiva,drugs preventing or stopping seizures,lieky proti kŕčom,krampflösende Arzneimittel
antidepressiva,drugs used in treatment of depressive disorders,lieky používané na liečbu depresívnych porúch,Arzneimittel zur Behandlung depressiver Störungen
antidiabetica,agents lowering elevated blood glucose levels,lieky znižujúce zvýšenú hladinu glukózy v krvi,blutzuckersenkende Arzneimittel
antidiarrhoica,agents used to stop or control diarrhea,lieky používané na zastavenie alebo kontrolu hnačky,Mittel gegen Durchfall
antidota,substances counteracting effects of poisons,látky neutralizujúce účinky jedov,Gegengifte
antiemetica,drugs effective against nausea and vomiting,lieky proti nevoľnosti a vracaniu,Mittel gegen Übelkeit und Erbrechen
antihypertensiva,drugs used to treat high blood pressure,lieky používané na liečbu vysokého krvného tlaku,blutdrucksenkende Arzneimittel
antimycotica,agents destroying or inhibiting fungi,lieky proti hubovým infekciám,Antipilzmittel
antipyretica,substances reducing fever,lieky znižujúce horúčku,fiebersenkende Mittel
antirheumatica,drugs used to treat rheumatic diseases,lieky používané pri liečbe reumatických ochorení,Arzneimittel gegen rheumatische Erkrankungen
antiseptica,antimicrobial substances applied to living tissues,látky používané na dezinfekciu živých tkanív,keimhemmende Substanzen zur Gewebedesinfektion
antitussica,substances suppressing cough,lieky tlmiace kašeľ,hustenstillende Mittel
antivirotica,drugs used to treat viral infections,lieky používané na liečbu vírusových infekcií,antivirale Arzneimittel
anxiolytica,drugs used to treat anxiety,lieky používané na liečbu úzkosti,angstlösende Arzneimittel
aphrodisiaca,agents increasing sexual desire or response,látky zvyšujúce sexuálnu túžbu,libidosteigernde Mittel
bronchodilatantia,agents dilating bronchi and improving airflow,látky rozširujúce priedušky a zlepšujúce prúdenie vzduchu,bronchienerweiternde Arzneimittel
cardiotonica,agents increasing cardiac contractility,lieky zvyšujúce silu srdcovej kontrakcie,herzstärkende Arzneimittel
chemotherapeutica,agents selectively destructive to malignant cells,lieky selektívne ničiace nádorové bunky,zytotoxische Arzneimittel
choleretica,substances increasing bile secretion,látky zvyšujúce sekréciu žlče,gallensekretionsfördernde Mittel
contraceptiva,agents preventing conception,látky zabraňujúce otehotneniu,empfängnisverhütende Mittel
cytostatica,agents inhibiting cell growth and multiplication,látky inhibujúce rast a delenie buniek,wachstumshemmende Arzneimittel
detoxicantia,agents removing toxins from the body,látky odstraňujúce toxíny z organizmu,entgiftende Mittel
digestiva,agents aiding digestion,látky podporujúce trávenie,verdauungsfördernde Mittel
diuretica,agents increasing urine production,lieky zvyšujúce tvorbu moču,harntreibende Mittel
expectorantia,agents promoting sputum secretion,látky podporujúce vykašliavanie,schleimlösende Mittel
haemostatica,agents promoting hemostasis,látky podporujúce zástavu krvácania,blutstillende Mittel
hepatoprotectiva,agents protecting the liver,látky chrániace pečeň,leberschützende Mittel
hypnotica,drugs inducing sleep,lieky navodzujúce spánok,schlaffördernde Arzneimittel
immunostimulantia,agents stimulating immune response,látky stimulujúce imunitnú odpoveď,immunaktivierende Mittel
immunosuppressiva,agents suppressing immune response,látky potláčajúce imunitnú odpoveď,immunsupprimierende Arzneimittel
laxantia,substances increasing bowel movements,látky zvyšujúce črevnú peristaltiku,abführende Mittel
mucolytica,agents dissolving thick mucus,látky rozpúšťajúce hustý hlien,schleimlösende Mittel
myorelaxantia,agents reducing skeletal muscle tone,látky uvoľňujúce kostrové svalstvo,muskelentspannende Mittel
narcotica,agents inducing stupor or relieving pain,látky navodzujúce útlm vedomia alebo tlmiace bolesť,narkotisch wirkende Substanzen
prophylactica,agents used for disease prevention,látky používané na prevenciu ochorení,vorbeugende Mittel
psychopharmaca,agents affecting mental state,látky ovplyvňujúce psychický stav,psychisch wirksame Arzneimittel
psychostimulantia,agents with stimulating psychomotor effects,látky so stimulačným účinkom na psychiku,stimulierende Substanzen
sedativa,agents calming agitation and inducing sleep,látky upokojujúce a navodzujúce spánok,beruhigende Arzneimittel
spasmolytica,agents relieving smooth muscle spasms,látky uvoľňujúce kŕče hladkého svalstva,krampflösende Mittel
tocolytica,agents inhibiting uterine contractions,látky inhibujúce kontrakcie maternice,wehenhemmende Mittel
vasoconstringentia,agents causing narrowing of blood vessels,látky spôsobujúce zúženie ciev,gefäßverengende Mittel
vasodilatantia,agents causing dilation of blood vessels,látky spôsobujúce rozšírenie ciev,gefäßerweiternde Mittel
virostatica,agents inhibiting viral replication,látky inhibujúce replikáciu vírusov,virushemmende Mittel
