id,pharm_type,english_name,slovak_name,drug_class,subclass,mechanism_of_action,indications,contraindications,adverse_effects_common,adverse_effects_serious,interactions_key,pregnancy,routes,onset,duration,notes
ans_001,drug_class,Cholinergic agonists,Cholinergné agonisty,Cholinergic agonists,overview,Increase cholinergic (ACh) signaling at muscarinic and/or nicotinic receptors (direct agonists) or by inhibiting acetylcholinesterase (indirect).,Urinary retention; GI hypomotility; glaucoma; xerostomia; myasthenia gravis; reversal of non-depolarizing neuromuscular blockade; antimuscarinic toxicity (specific).,Mechanical GI/GU obstruction; asthma/COPD (caution); bradyarrhythmias/hypotension (caution).,Sweating; salivation; lacrimation; miosis; abdominal cramps; diarrhea; bronchial secretions.,Bronchospasm; severe bradycardia/AV block; hypotension; cholinergic crisis; seizures (some AChE inhibitors).,Additive bradycardia with beta blockers; antagonized by antimuscarinics; AChE inhibitors interact with depolarizing/non-depolarizing NMBs.,caution/individualize,PO; SC; IV; IM; ophthalmic; inhalation,minutes to hours (agent-dependent),minutes to hours (agent-dependent),Core toxidrome: DUMBBELS/SLUDGE; treat severe muscarinic effects with atropine; consider pralidoxime for organophosphate poisoning.
ans_002,drug,Bethanechol,Betanechol,Cholinergic agonists,direct muscarinic agonist,Direct muscarinic agonist (M3>M2) increases detrusor contraction and GI motility.,Postoperative/postpartum urinary retention; neurogenic bladder; ileus.,Mechanical urinary or GI obstruction; asthma; peptic ulcer disease; bradycardia/hypotension.,Flushing; sweating; salivation; abdominal cramps; diarrhea; urinary urgency.,Bronchospasm; severe bradycardia; hypotension.,Additive bradycardia with beta blockers; antagonized by atropine/antimuscarinics.,caution/avoid unless clearly needed,PO; SC,30–90 min (PO); minutes (SC),~1–2 h (PO),Does not cross BBB (quaternary).
ans_003,drug,Pilocarpine,Pilokarpín,Cholinergic agonists,direct muscarinic agonist,Direct muscarinic agonist (M3) increases exocrine secretion and causes miosis.,"Xerostomia (Sjögren, post-radiation); glaucoma (miosis, ↑trabecular outflow).",Uncontrolled asthma/COPD; acute iritis/uveitis (caution); cardiovascular instability (caution).,Sweating; salivation; nausea; rhinitis; urinary frequency; blurred vision.,Bronchospasm; bradycardia/hypotension (rare).,Additive cholinergic effects with AChE inhibitors; antagonized by antimuscarinics.,caution/individualize,PO; ophthalmic,minutes (ophthalmic); ~30–60 min (PO),hours,Can precipitate bronchospasm in susceptible patients.
ans_004,drug,Cevimeline,Cevimelín,Cholinergic agonists,direct muscarinic agonist,Direct muscarinic agonist (M3-selective) increases salivary secretion.,Xerostomia in Sjögren syndrome.,Uncontrolled asthma; narrow-angle glaucoma (caution); significant cardiac conduction disease (caution).,Sweating; nausea; rhinitis; diarrhea; visual disturbances.,Bronchospasm; bradycardia (rare).,Additive cholinergic effects with AChE inhibitors; antagonized by antimuscarinics.,caution/individualize,PO,~1 h,~4–6 h,Prefer M3 selectivity vs pilocarpine (still systemic cholinergic AEs).
ans_005,drug,Methacholine,Metacholín,Cholinergic agonists,direct muscarinic agonist,Direct muscarinic agonist used to provoke bronchoconstriction.,Bronchial hyperreactivity testing (asthma diagnosis).,Asthma with severe obstruction; uncontrolled hypertension; recent MI/stroke; aortic aneurysm.,Cough; chest tightness; wheeze; flushing.,Severe bronchospasm; hypoxia.,Beta blockers may blunt rescue bronchodilation; antagonized by inhaled beta-2 agonists.,avoid,inhalation (challenge),minutes,minutes,"Diagnostic agent, not therapy; ensure bronchodilator rescue available."
ans_006,drug,Carbachol,Karbachol,Cholinergic agonists,direct muscarinic agonist,Direct muscarinic agonist (also nicotinic) causes miosis and ↑aqueous outflow.,Ophthalmic miosis during surgery; glaucoma (limited).,Hypersensitivity; asthma/COPD (systemic absorption caution).,Eye irritation; headache; brow ache.,Rare systemic cholinergic toxicity.,Additive with other cholinergics; antagonized by antimuscarinics.,caution,ophthalmic,minutes,hours,Mostly ophthalmic use.
ans_007,drug_class,Acetylcholinesterase inhibitors (AChEIs),Inhibítory acetylcholínesterázy,Cholinergic agonists,indirect (AChE inhibition),"Inhibit acetylcholinesterase, increasing ACh at synapses and NMJ (reversible agents) or irreversibly (organophosphates).",Myasthenia gravis; reversal of non-depolarizing neuromuscular blockade; ileus/urinary retention (selected); antimuscarinic toxicity (physostigmine).,Mechanical GI/GU obstruction; asthma/COPD (caution); bradyarrhythmias; seizures (caution).,Cholinergic excess: diarrhea; urination; miosis; bronchial secretions; bradycardia.,Cholinergic crisis; bronchospasm; severe bradycardia/AV block; seizures (especially CNS-penetrant).,Additive bradycardia with beta blockers; antagonized by atropine; affects response to neuromuscular blockers.,caution/individualize,IV; IM; SC; PO,minutes to hours,minutes to hours,Separate muscarinic effects (treat with atropine) from nicotinic weakness (manage airway; pralidoxime for organophosphates).
ans_008,drug,Neostigmine,Neostigmín,Cholinergic agonists,AChE inhibitor (indirect cholinomimetic),"Reversible AChE inhibitor (quaternary, peripheral) ↑ACh at NMJ and parasympathetic sites.",Reversal of non-depolarizing neuromuscular blockade; myasthenia gravis; postoperative ileus/urinary retention (selected).,Mechanical GI/GU obstruction; peritonitis; asthma/COPD (caution); bradyarrhythmias.,Bradycardia; salivation; abdominal cramps; diarrhea.,Bronchospasm; severe bradycardia/AV block; cholinergic crisis.,Given with antimuscarinic (glycopyrrolate/atropine) for NMB reversal; additive bradycardia with beta blockers.,caution,IV; IM; SC,minutes (IV),~0.5–2 h,Does not cross BBB.
ans_009,drug,Pyridostigmine,Pyridostigmín,Cholinergic agonists,AChE inhibitor (indirect cholinomimetic),"Reversible AChE inhibitor (quaternary, peripheral) ↑ACh at NMJ.",Myasthenia gravis (symptomatic treatment).,Mechanical GI/GU obstruction; asthma/COPD (caution); bradyarrhythmias.,GI upset; diarrhea; sweating; salivation.,Cholinergic crisis; bronchospasm; severe bradycardia.,Additive bradycardia with beta blockers; antagonized by antimuscarinics for muscarinic effects.,caution,PO,~30–60 min,~3–6 h,Longer acting than neostigmine; titrate to avoid cholinergic crisis.
ans_010,drug,Physostigmine,Fyzostigmín,Cholinergic agonists,AChE inhibitor (indirect cholinomimetic),"Reversible AChE inhibitor (tertiary, crosses BBB) reverses central and peripheral antimuscarinic toxicity.",Antimuscarinic (atropine-like) poisoning with delirium.,TCA overdose (risk arrhythmias); conduction defects; asthma/COPD (caution).,Nausea; bradycardia; sweating.,Seizures; bradyarrhythmias/asystole (if rapid).,"Avoid with drugs causing conduction delay (e.g., TCAs); additive bradycardia with beta blockers.",caution,IV,minutes,~0.5–2 h,Use slow IV with monitoring; have atropine ready.
